,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,Stiga Azalea Allround,SSAZA,Stiga,ALL,80,78,85,5w,5.6,"FL, ST",$139.95,$74.95
,Stiga Defensive Classic,SSDVC,Stiga,DEF,69,82,80,5w,5.6,"FL, ST",,$74.95
,Stiga Defensive Pro,SSDVP,Stiga,DEF+,80,77,80,"5w, 2c",5.7,"FL, ST",,$84.95
,Donic New Impuls 7.5,SDI75,Donic,OFF,91,72,90,5w,7.5,"FL, AN, ST",,$114.95
,Donic New Impuls 7.0,SDI70,Donic,OFF-,85,75,85,5w,7,"FL, AN, ST",,$114.95
,Donic New Impuls 6.5,SDI65,Donic,ALL+,78,78,80,5w,6.5,"FL, AN, ST",,$114.95
,Nittaku Violin Carbon,SNVIR,Nittaku,OFF,91,66,90,"5w, 2c",5.3,"FL, ST",,$179.95
,Nittaku Acoustic Carbon Inner,SNACI,Nittaku,OFF,90,66,90,"5w, 2c",5.5,"FL, ST",,$179.95
,Nittaku Acoustic Carbon,SNACC,Nittaku,OFF,92,65,90,"5w, 2c",5.5,"FL, ST",,$179.95
,Andro TP_Ligna ALL,SALAL,Andro,ALL+,77,76,75,5w,5.7,"FL, ST",,$94.95
,Andro TP_Ligna OFF,SALFF,Andro,OFF-,88,66,85,5w,6.5,"FL, ST",,$122.95
,Andro TP_Ligna OFF/S,SALOS,Andro,OFF,91,65,85,5w,6.8,"FL, ST",,$122.95
,Andro TP_Ligna CO OFF,SALCO,Andro,OFF,89,66,85,"5w, 2c",6.3,"FL, ST",,$132.95
,Andro TP_Ligna CI OFF,SALCI,Andro,OFF,90,65,85,"5w, 2c",6.3,"FL, ST",,$132.95
,Donic Ovtcharov Exclusive Carbon,SDOEC,Donic,OFF,90,65,85,"5w, 2c",6.5,"FL, ST",,$49.95
,Donic Ovtcharov True Carbon,SDOTC,Donic,OFF,95,71,90,"5w, 2c/k",5.3,"FL, AN, ST",$171.95,$106.95
,Donic Ovtcharov Senso Carbon,SDOVO,Donic,OFF,90,70,90,"6w, 2c",5.8,FL,,$79.95
,DHS Fang Bo B2,SCFB2,DHS,OFF+,95,63,90,"5w, 2c/a",5.9,FL,,$69.95
,Stiga Nostalgic VII,SSNG7,Stiga,OFF,93,64,92,7w,6.3,"FL, ST",$179.95,$114.95
,Stiga Nostalgic Offensive,SSNGO,Stiga,OFF,91,66,85,5w,5.9,"FL, ST",,$104.95
,Stiga Nostalgic Allround,SSNGA,Stiga,ALL+,82,76,85,5w,5.6,"FL, ST",,$94.95
,Stiga Arctic Wood,SSARTN,Stiga,OFF,91,66,85,5w,6,"FL, AN, ST",,$124.95
,Stiga Eternity VPS V,SSETRN,Stiga,OFF,90,64,90,5w,6.1,"FL, AN, ST",,$89.95
,Stiga Emerald VPS V,SSEMR5,Stiga,OFF,92,63,90,5w,6.2,"FL, AN, ST",,$169.95
,Stiga Celero,SSCRO,Stiga,OFF-,86,70,90,5w,5.5,"FL, AN, ST",,$59.95
,Yasaka Sweden EK Carbon,SYEKC,Yasaka,OFF,96,67,89,"5w, 2c",5.6,"FL, AN, ST",,$69.95
,Yasaka Ma Lin Carbon,SYMAC,Yasaka,OFF,95,60,85,"5w, 2c",5.6,"FL, AN, ST",$137.95,$72.95
,Yasaka Ebony Carbon,SYEBC,Yasaka,OFF+,98,52,90,"7w, 2c",6.3,"FL, AN, ST",,$69.95
,Dr. Neubauer Bloodhound,SUBHD,Dr. Neubauer,ALL-,75,78,77,"3w, 2c",6,"FL, AN, ST",$139.95,$74.95
,Juic Iseki Carbon,SJISC,Juic,ALL+,80,79,87,"5w, 2c",6.5,"FL, ST",$134.95,$69.95
,Xiom Feel ZX3,SXFZ3,Xiom,OFF+,95,61,88,"5w, 2c/z",5.6,"FL, ST",,$229.95
,Xiom Feel ZX2,SXFZ2,Xiom,OFF,93,63,81,"5w, 2c/z",6.5,"FL, ST",,$149.95
,Xiom Feel ZX1,SXFZ1,Xiom,OFF,92,64,93,"5w, 2c/z",5.7,"FL, ST",,$99.95
,Andro Timber 7 OFF/S,SAT7OS,Andro,OFF,89,62,90,7w,7,"FL, ST",,$47.95
,Andro Timber 7 OFF,SAT7OF,Andro,OFF-,82,72,90,7w,6,"FL, ST",,$47.95
,Andro Timber 5 OFF,SAT5OF,Andro,OFF,88,65,83,5w,6.3,"FL, ST",,$42.95
,Andro Timber 5 DEF,SAT5D,Andro,DEF,62,88,80,5w,4.9,"FL, ST",,$52.95
,Andro Timber 5 ALL/S,SAT5AS,Andro,ALL,75,73,83,5w,5.2,"FL, ST",,$42.95
,Donic Persson OFF+ World Champion 89,SDPWC,Donic,OFF+,97,62,85,"5w, 2c/z",6.9,"FL, ST",,$129.95
,Donic Waldner OFF World Champion 89,SDWWC,Donic,OFF,93,67,85,"5w, 2c/z",6.9,"FL, ST",,$129.95
,Donic Appelgren ALL+ World Champion 89,SDAWC,Donic,ALL+,82,74,80,"5w, 2c/z",6.1,"FL, ST",,$129.95
,Donic Ovtcharov Feat,SDOVF,Donic,OFF-,90,70,75,5w,6.2,"FL, ST",,$129.95
